ell_min,ell_max,n_points,model,model_pretty,fitted_OPH_parameters_count,chi2_diag,chi2_per_point,PTE_diag_chi2_n_dof,delta_chi2_improvement_vs_LCDM,AIC_proxy,delta_AIC_vs_LCDM,BIC_proxy,delta_BIC_vs_LCDM
2,29,28,CAMB_LCDM_powerlaw,CAMB LCDM power law,0,27.40723660095901,0.9788298786056788,0.4961643817351986,0.0,27.40723660095901,0.0,27.40723660095901,0.0
2,40,39,CAMB_LCDM_powerlaw,CAMB LCDM power law,0,38.79433095334791,0.9947264347012283,0.4791525622455576,0.0,38.79433095334791,0.0,38.79433095334791,0.0
30,100,71,CAMB_LCDM_powerlaw,CAMB LCDM power law,0,70.72709661244271,0.9961562903160944,0.486809467681528,0.0,70.72709661244271,0.0,70.72709661244271,0.0
30,1200,1171,CAMB_LCDM_powerlaw,CAMB LCDM power law,0,1359.2172613995713,1.160732076344638,0.000102787040556,0.0,1359.2172613995713,0.0,1359.2172613995713,0.0
2,29,28,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ell_IR=6",0,26.230298711694388,0.936796382560514,0.56038720476213,1.1769378892646216,26.230298711694388,-1.1769378892646216,26.230298711694388,-1.1769378892646216
2,40,39,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ell_IR=6",0,37.61739321783422,0.9645485440470312,0.5329304523692282,1.1769377355136896,37.61739321783422,-1.1769377355136896,37.61739321783422,-1.1769377355136896
30,100,71,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ell_IR=6",0,70.72708204792006,0.9961560851819729,0.4868099558852429,1.4564522643922828e-05,70.72708204792006,-1.4564522643922828e-05,70.72708204792006,-1.4564522643922828e-05
30,1200,1171,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ell_IR=6",0,1359.2023389747317,1.160719333027098,0.0001029005698285,0.0149224248395967,1359.2023389747317,-0.014922424839596715,1359.2023389747317,-0.014922424839596715
2,29,28,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR low-ell best fit q=0.2446, ell_IR=33.615",2,16.65364090607876,0.5947728895028128,0.955120448502316,10.75359569488025,20.65364090607876,-6.75359569488025,23.31804992642917,-4.0891866745298415
2,40,39,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR low-ell best fit q=0.2446, ell_IR=33.615",2,28.353730409700177,0.7270187284538506,0.8960494748883779,10.440600543647731,32.35373040970018,-6.440600543647733,35.68085370195947,-3.1134772513884386
30,100,71,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR low-ell best fit q=0.2446, ell_IR=33.615",2,71.11480348630184,1.0016169505112935,0.4738464523800904,-0.3877068738591305,75.11480348630184,4.3877068738591305,79.64016324038447,8.91306662794176
30,1200,1171,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR low-ell best fit q=0.2446, ell_IR=33.615",2,1359.6056323292114,1.161063733842196,9.987365969933266e-05,-0.3883709296401321,1363.6056323292114,4.388370929640132,1373.7368590564067,14.519597656835458
2,29,28,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ell_IR=67.979",2,15.86562029678718,0.5666292963138279,0.96776772679538,11.54161630417183,19.865620296787178,-7.541616304171832,22.530029317137586,-4.8772072838214235
2,40,39,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ell_IR=67.979",2,28.99061950703122,0.7433492181290057,0.8791432870254945,9.80371144631669,32.99061950703122,-5.80371144631669,36.317742799290514,-2.4765881540573957
30,100,71,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ell_IR=67.979",2,72.89984029188051,1.026758313970148,0.4153162919020882,-2.172743679437801,76.89984029188051,6.172743679437801,81.42520004596314,10.69810343352043
30,1200,1171,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ell_IR=67.979",2,1361.57412957401,1.1627447733339111,8.626986362860004e-05,-2.3568681744386595,1365.57412957401,6.3568681744386595,1375.7053563012053,16.488094901633986
