ell,Planck_TT_obs_Dell_uK2,Planck_TT_err_sym_uK2,CAMB_LCDM_powerlaw_TT_model_Dell_uK2,OPH_IR_reference_q0p15_ell6_TT_model_Dell_uK2,OPH_IR_bestfit_lowell_q0p2446_ell33p615_TT_model_Dell_uK2,OPH_IR_joint_IRpart_q0p1670_ell67p979_TT_model_Dell_uK2,Planck_TE_obs_Dell_uK2,Planck_TE_err_sym_uK2,CAMB_LCDM_powerlaw_TE_model_Dell_uK2,OPH_IR_reference_q0p15_ell6_TE_model_Dell_uK2,OPH_IR_bestfit_lowell_q0p2446_ell33p615_TE_model_Dell_uK2,OPH_IR_joint_IRpart_q0p1670_ell67p979_TE_model_Dell_uK2,Planck_EE_obs_Dell_uK2,Planck_EE_err_sym_uK2,CAMB_LCDM_powerlaw_EE_model_Dell_uK2,OPH_IR_reference_q0p15_ell6_EE_model_Dell_uK2,OPH_IR_bestfit_lowell_q0p2446_ell33p615_EE_model_Dell_uK2,OPH_IR_joint_IRpart_q0p1670_ell67p979_EE_model_Dell_uK2
2,225.895,332.7155,1022.0577365666612,951.4536387240382,802.4854897091345,859.3796063739151,2.961513,4.03012065,2.637266209991634,2.3095084132781767,1.998731078338474,2.1983047340097843,0.110437,0.0614751615,0.0309832695161246,0.0281504963847941,0.0235528101723641,0.0258355945136878
3,936.92,831.3895,975.709107932907,917.772131480741,770.8374127449549,822.2883380353629,-2.786573,3.12827431,2.9481292564706325,2.6473012013127195,2.237143773239369,2.457874863319212,0.03783,0.0396450884,0.0396514794286371,0.0369974892214277,0.0302608118048622,0.0330843381779683
4,692.238,480.29,904.908340542954,861.3230380496442,719.7331567435806,764.5085225081906,1.993852,2.51971316,2.773677092551128,2.5584773993081398,2.110821415024079,2.313506577065981,0.01754611,0.0235603232,0.0342899100833799,0.0326384921758528,0.0262764262086342,0.0286299113771238
5,1501.705,865.118,894.940373920756,863.8546745753126,716.7132653735137,757.7622158965339,3.580161,1.87375647,2.350868031363125,2.2188742260156253,1.7945743742914135,1.961881044613717,0.0453397,0.0162989593,0.0228432948282308,0.0220559982249493,0.0175797725064164,0.0190866367500935
6,557.611,288.5025,837.3149536921586,816.078250930129,674.9261587958506,710.8959845929603,0.4580148,1.68408802,1.892915658425391,1.8205445354587797,1.4523916034814643,1.5810996948948857,0.01226896,0.0135650039,0.0127892011065142,0.0124788083073916,0.0098927128522893,0.0106960285795368
7,1152.643,526.204,838.0089545220138,824.0651198213833,681.9763352108271,713.4758033205119,2.497137,1.34155156,1.5135762236826973,1.4770648160853397,1.1676734629653898,1.2653182075739529,0.003789166,0.010288692,0.0068939213291309,0.0067854325540321,0.0053751329633296,0.0057747281917331
8,615.846,257.7215,835.6141698333523,826.8050718736744,684.3323740871065,713.1612829230679,0.6767146,1.18776452,1.1625361884944068,1.1450849083655843,0.9007917437319714,0.9725147169457412,0.009994089,0.00881023444,0.0044089700152402,0.0043725047884911,0.0034846292381003,0.0037035067317489
9,697.821,282.1095,807.0008793333807,801.6325201146022,667.8513602648277,691.2470928061642,2.324671,1.30735138,0.9460654287825694,0.937871471810262,0.7404936217718738,0.792842883238268,0.0127871,0.0106921891,0.0035581938594891,0.0035453159728161,0.0028537544627645,0.002998185684879
10,803.658,300.39549999999997,821.6902743162713,818.5401161258402,685.9893642340191,705.8925949985871,-0.0197156,1.09956197,0.8650060134483496,0.8610689643750778,0.6857152025569881,0.7267129915526938,-0.0008420945,0.00978119655,0.0030539369499005,0.0030488327066059,0.0024782716949146,0.0025805409828285
11,869.58,305.6515,827.7427854283653,825.9616009770053,697.0756942704411,713.2848970291506,1.184941,1.00900355,0.8214643543705655,0.8194634158942921,0.6586560179953568,0.6916954677826722,-0.001316878,0.0101448724,0.0025563216633279,0.0025539833973442,0.0020999867155908,0.0021672768297751
