spectrum,lmax,source,use_abs_for_TE,odd_sum_Dell,even_sum_Dell,R_odd_even,low_power_sum_Dell,source_label,R_odd_even_ratio_to_Planck_obs
TT,29,Planck_obs,False,12915.103,9852.692000000001,1.310819723178193,22767.795000000002,,1.0
TT,29,CAMB_LCDM_powerlaw,False,12666.045331952762,12631.428132250487,1.0027405610307747,25297.473464203256,CAMB LCDM power law,0.7649721340777095
TT,29,OPH_IR_reference_q0p15_ell6,False,12555.254205026162,12482.73428339319,1.0058096183085024,25037.98848841935,"OPH IR reference q=0.15, ellIR=6",0.7673134608242177
TT,29,OPH_IR_bestfit_lowell_q0p2446_ell33p615,False,11160.555601128768,11038.065351929403,1.011097075918105,22198.620953058173,"OPH IR best q=0.2446, ellIR=33.615",0.7713471639460954
TT,29,OPH_IR_joint_IRpart_q0p1670_ell67p979,False,11146.763717181577,11075.27156958393,1.006455114635201,22222.035286765506,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.7678058979727324
EE,29,Planck_obs,False,0.2829118072,0.22538081122999995,1.2552612871345552,0.50829261843,,1.0
EE,29,CAMB_LCDM_powerlaw,False,0.14814641400973022,0.1491333073236898,0.9933824755068461,0.29727972133342007,CAMB LCDM power law,0.7913750592711161
EE,29,OPH_IR_reference_q0p15_ell6,False,0.1445795514230886,0.1442945730823178,1.0019749761524865,0.28887412450540645,"OPH IR reference q=0.15, ellIR=6",0.7982202481841391
EE,29,OPH_IR_bestfit_lowell_q0p2446_ell33p615,False,0.1232937443146106,0.1223698591702717,1.0075499404069213,0.24566360348488225,"OPH IR best q=0.2446, ellIR=33.615",0.8026615261169279
EE,29,OPH_IR_joint_IRpart_q0p1670_ell67p979,False,0.1264152747690544,0.1267603629426034,0.9972776334373131,0.25317563771165785,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.7944781247208271
TE,29,Planck_obs,True,27.9692872,20.0289108,1.3964457418223661,47.99819800000001,,1.0
TE,29,CAMB_LCDM_powerlaw,True,20.81428523125543,21.025905339014948,0.9899352677400842,41.84019057027038,CAMB LCDM power law,0.7088963345244016
TE,29,OPH_IR_reference_q0p15_ell6,True,20.33389906421898,20.387636567319458,0.997364211250135,40.72153563153844,"OPH IR reference q=0.15, ellIR=6",0.7142162286581729
TE,29,OPH_IR_bestfit_lowell_q0p2446_ell33p615,True,17.23737507633014,17.25714649895195,0.9988543052223023,34.49452157528209,"OPH IR best q=0.2446, ellIR=33.615",0.7152832905049317
TE,29,OPH_IR_joint_IRpart_q0p1670_ell67p979,True,17.656264140063563,17.801470594587833,0.991843007927198,35.457734734651396,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.7102624743821695
TT,64,Planck_obs,False,35687.099311,35474.978709,1.005979442686633,71162.07802,,1.0
TT,64,CAMB_LCDM_powerlaw,False,35995.40407181841,37353.250434737034,0.9636485085738113,73348.65450655544,CAMB LCDM power law,0.957920676788613
