spectrum,lmax,source,S_1_2_scalar_Dell_proxy,source_label,ratio_to_Planck_obs
TT,29,Planck_obs,6707.101045547967,,1.0
TT,29,CAMB_LCDM_powerlaw,34903.68074134246,CAMB LCDM power law,5.203989101149861
TT,29,OPH_IR_reference_q0p15_ell6,30085.372630279704,"OPH IR reference q=0.15, ellIR=6",4.485600026892355
TT,29,OPH_IR_bestfit_lowell_q0p2446_ell33p615,21453.139485382493,"OPH IR best q=0.2446, ellIR=33.615",3.1985710875226245
TT,29,OPH_IR_joint_IRpart_q0p1670_ell67p979,24649.546707197154,"OPH joint-fit IR part q=0.1670, ellIR=67.979",3.6751416953169365
EE,29,Planck_obs,0.0005110214797636437,,1.0
EE,29,CAMB_LCDM_powerlaw,3.196921400729168e-05,CAMB LCDM power law,0.06255943296567101
EE,29,OPH_IR_reference_q0p15_ell6,2.6166921389171513e-05,"OPH IR reference q=0.15, ellIR=6",0.05120513016649353
EE,29,OPH_IR_bestfit_lowell_q0p2446_ell33p615,1.843729131612862e-05,"OPH IR best q=0.2446, ellIR=33.615",0.036079288339613796
EE,29,OPH_IR_joint_IRpart_q0p1670_ell67p979,2.2221078794381565e-05,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.043483649267853086
TT,64,Planck_obs,6766.895970859925,,1.0
TT,64,CAMB_LCDM_powerlaw,34940.38664924298,CAMB LCDM power law,5.163428963546313
TT,64,OPH_IR_reference_q0p15_ell6,30119.052843175486,"OPH IR reference q=0.15, ellIR=6",4.450940722729628
TT,64,OPH_IR_bestfit_lowell_q0p2446_ell33p615,21480.00788511635,"OPH IR best q=0.2446, ellIR=33.615",3.1742778339751405
TT,64,OPH_IR_joint_IRpart_q0p1670_ell67p979,24678.01000920132,"OPH joint-fit IR part q=0.1670, ellIR=67.979",3.6468729703355085
EE,64,Planck_obs,0.0005166159759214944,,1.0
EE,64,CAMB_LCDM_powerlaw,3.2093139092274325e-05,CAMB LCDM power law,0.06212184792587838
EE,64,OPH_IR_reference_q0p15_ell6,2.6286574650182953e-05,"OPH IR reference q=0.15, ellIR=6",0.050882233371306915
EE,64,OPH_IR_bestfit_lowell_q0p2446_ell33p615,1.8545257607132433e-05,"OPH IR best q=0.2446, ellIR=33.615",0.03589756893222867
EE,64,OPH_IR_joint_IRpart_q0p1670_ell67p979,2.2324753304557704e-05,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.04321343966325617
