ell_range,model_or_data,odd_even_Dell_ratio,definition
2-29,Planck PR3 TT observed,1.310819723178193,sum odd D_ell / sum even D_ell
2-29,LCDM exact-tilt CAMB,1.0027241965629763,sum odd D_ell / sum even D_ell
2-29,OPH exact scalar IR kernel,1.0114046262128114,sum odd D_ell / sum even D_ell
2-29,OPH exact scalar times exact angular parity diagnostic,1.2160638411338078,sum odd D_ell / sum even D_ell
2-29,OPH fitted parity angular diagnostic,1.2787125962633745,sum odd D_ell / sum even D_ell
2-29,OPH fitted joint angular diagnostic,1.2285900926307987,sum odd D_ell / sum even D_ell
2-60,Planck PR3 TT observed,1.016171410290665,sum odd D_ell / sum even D_ell
2-60,LCDM exact-tilt CAMB,0.9613378369658568,sum odd D_ell / sum even D_ell
2-60,OPH exact scalar IR kernel,0.962668213802847,sum odd D_ell / sum even D_ell
2-60,OPH exact scalar times exact angular parity diagnostic,1.026351326182945,sum odd D_ell / sum even D_ell
2-60,OPH fitted parity angular diagnostic,1.2787125962633743,sum odd D_ell / sum even D_ell
2-60,OPH fitted joint angular diagnostic,1.2285900926307987,sum odd D_ell / sum even D_ell
2-64,Planck PR3 TT observed,1.005979442686633,sum odd D_ell / sum even D_ell
2-64,LCDM exact-tilt CAMB,0.9636457274594399,sum odd D_ell / sum even D_ell
2-64,OPH exact scalar IR kernel,0.9649547705177121,sum odd D_ell / sum even D_ell
2-64,OPH exact scalar times exact angular parity diagnostic,1.0224217962108397,sum odd D_ell / sum even D_ell
2-64,OPH fitted parity angular diagnostic,1.2787125962633743,sum odd D_ell / sum even D_ell
2-64,OPH fitted joint angular diagnostic,1.2285900926307987,sum odd D_ell / sum even D_ell
