ell,k_approx_Mpc_inv,Planck_TT_obs_Dell_uK2,Planck_TT_err_sym_uK2,LCDM_EXACT_TILT_TT_Dell_uK2,OPH_EXACT_KERNEL_TT_Dell_uK2,OPH_EXACT_KERNEL_TT_ratio_to_LCDM_EXACT_TILT,F_parity_exact_angular,OPH_EXACT_SCALAR_X_PARITY_TT_Dell_uK2,OPH_EXACT_SCALAR_X_PARITY_TT_ratio_to_LCDM,LCDM_EXACT_TILT_TT_pull_model_minus_obs_sigma,OPH_EXACT_KERNEL_TT_pull_model_minus_obs_sigma,OPH_EXACT_SCALAR_X_PARITY_TT_pull_model_minus_obs_sigma
2,0.0001449275362318,225.895,332.7155,1022.8383324539722,800.0879006332209,0.7822232265324539,0.3934693402873666,314.8100584340575,0.30778085690117996,2.395269629620418,1.7257774303668476,0.26724050557926365
3,0.0002173913043478,936.92,831.3895,976.419669736258,768.7712438005839,0.7873369081229568,1.4723665527410148,1131.913066081088,1.1592485292587669,0.047510426504373766,-0.2022502764341095,0.23453876441918972
4,0.0002898550724637,692.238,480.29,905.542344933887,718.030956253942,0.7929291879844282,0.6321205588285577,453.88212932344544,0.5012268414201912,0.44411573202416643,0.053702880039022155,-0.4962748978253859
5,0.0003623188405797,1501.705,865.118,895.541108961892,715.4047059866826,0.7988518883471215,1.28650479686019,920.3715859482211,1.0277267863393926,-0.7006719210999054,-0.90889369313009,-0.6719700827537732
6,0.0004347826086956,557.611,288.5025,837.8606064284446,673.8570884733284,0.804259185004275,0.7768698398515702,523.49924840512,0.6248047042534255,0.9713940309995395,0.402929224091051,-0.11823728250146856
10,0.0007246376811594,803.658,300.3955,822.1614790809573,686.5630378212294,0.8350707924052768,0.9179150013761012,630.2065118064539,0.7665240075598315,0.06159705814819887,-0.38980265076797294,-0.5774104079240404
20,0.0014492753623188,659.863,171.20850000000002,906.3760777120292,829.2226864449045,0.914877065751908,0.9932620530009144,823.6354279331994,0.9087126725721926,1.4398413496527867,0.9892013915483429,0.9565671560302164
29,0.0021014492753623,979.567,209.863,1040.2608193671006,1001.0479237360724,0.9623047461742475,1.0007101743888425,1001.7588423335137,0.962988150359242,0.2892068605094779,0.10235688871345802,0.10574442533230587
30,0.0021739130434782,1102.80565,274.694273,1056.750737381521,1020.7566071036536,0.9659388642897418,0.9994469156298522,1020.1920425785395,0.9654046186013848,-0.16765880160333363,-0.2986922224488694,-0.3007474692472403
40,0.0028985507246376,1715.07099,274.432309,1231.1813356423054,1217.3965067400734,0.9888035754740868,0.9999546000702376,1217.3412370241745,0.9887586838612116,-1.7632386511665965,-1.8134689937689756,-1.813670390303153
50,0.0036231884057971,1707.30702,282.956791,1423.429537086324,1418.974283594031,0.9968700568758656,0.999996273346828,1418.968995569016,0.9968663418869061,-1.0032538251173337,-1.0189991743508602,-1.0190178628050104
64,0.0046376811594202,1242.4852,300.347925,1725.867452919899,1725.119390514286,0.9995665585996494,0.9999998874648252,1725.1191963776737,0.999566446113252,1.6094076658591832,1.6069170130417443,1.606916366669334
100,0.0072463768115942,,,2707.0865582805745,2707.070405748973,0.999994033241548,0.999999999986112,2707.070405711377,0.9999940332276602,,,
220,0.0159420289855072,,,5770.113977722367,5770.110159347971,0.999999338249745,1.0,5770.110159347971,0.999999338249745,,,
500,0.036231884057971,,,2404.674240377361,2404.678693285197,1.0000018517717535,1.0,2404.678693285197,1.000001851771754,,,
1000,0.072463768115942,,,1041.0443572705224,1041.0149166038957,0.999971720065124,1.0,1041.0149166038957,0.9999717200651239,,,
