cycle,phase,beta,phi_before,phi,delta_phi,mismatch_edges,active_edges_before_repair,repair_budget,chosen_edges,sector_edges_changed,mismatch_definition,committed_records,committed_fraction,record_entropy,modular_depth_mean,modular_depth_std,observer_readback_drive_edges
0,exploration,0.05,653597,650969,-2628,650969,653597,2628,2628,201,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49918330342105427,0.2886186513128252,2351
1,exploration,0.052296773575815116,650981,648418,-2563,648418,650981,2563,2563,218,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49900358977621095,0.28800377408344424,2351
2,exploration,0.05469905052880149,648423,645941,-2482,645941,648423,2482,2482,183,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4988239408968934,0.28739506292552164,2351
3,exploration,0.057211677206336034,645973,643560,-2413,643560,645973,2413,2413,194,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49864435675484425,0.2867923749730055,2351
4,exploration,0.05983972257504758,643600,641218,-2382,641218,643600,2382,2382,200,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4984648373372486,0.2861955614941112,2351
5,exploration,0.0625884884469371,641236,638829,-2407,638829,641236,2407,2407,209,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4982853826116992,0.28560445406201135,2351
6,exploration,0.0654635201752398,638865,636369,-2496,636369,638865,2496,2496,204,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4981059925668613,0.28501944507718524,2351
7,exploration,0.06847061784160642,636384,633742,-2642,633742,636384,2642,2642,173,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49792666717652245,0.28444067648835936,2351
8,exploration,0.07161584795717316,633785,630960,-2825,630960,633785,2825,2825,238,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4977474064216606,0.2838691344926892,2351
9,exploration,0.07490555570112571,631011,627917,-3094,627917,631011,3094,3094,230,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4975682102638681,0.28330457502628525,2351
10,exploration,0.07834637772144759,627965,624541,-3424,624541,627965,3424,3424,297,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49738907868076687,0.2827477400583016,2351
11,exploration,0.0819452555236766,624603,620883,-3720,620883,624603,3720,3720,285,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49721001165149015,0.2821969281518748,2351
12,exploration,0.08570944947468057,620954,616999,-3955,616999,620954,3955,3955,351,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49703100916840104,0.28165323223975414,2351
13,exploration,0.08964655344970272,617055,612941,-4114,612941,617055,4114,4114,317,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49685207118027175,0.28111554227639796,2351
