source_run_dir,seed,max_model_points,k_neighbors,remove_modes,observer_count,sampled_observer_count,residual_graph_receipt,spatial_3d_candidate,strict_h3_candidate,rank3_selector,model_order_consensus_rank,model_order_profile_rank,model_order_broken_stick_rank,model_order_rank3_selector,median_dimension,correlation_dimension,local_mle_dimension,selected_model,h3_beats_s2,h3_beats_h2_h4,s2_leakage_pass,s2_distance_correlation,largest_gap_rank,rank3_cumulative_explained_variance,effective_rank,nontrivial_rank3_selector,nontrivial_largest_gap_rank,nontrivial_model_order_consensus_rank,nontrivial_model_order_profile_rank,nontrivial_model_order_broken_stick_rank,nontrivial_model_order_rank3_selector,nontrivial_rank3_cumulative_explained_variance,nontrivial_effective_rank,raw_largest_gap_rank,raw_rank3_selector,removed_common_mode_energy_fraction,edge_count,component_count,finite_pair_fraction,mean_positive_affinity,blockers,error
runs/oph_universe_128k_3p1d_earned,7,512,8,1,8192,512,False,False,False,False,12,12,12,False,2.3957886011422125,3.3902757115379845,1.4013014907464403,H2,True,False,True,0.04534218730931733,3,0.02037101241235399,170.11848386219754,False,2,12,12,12,False,0.020510284163445466,169.13002528564795,2,False,0.00911907869911168,1195,95,0.3500107020547945,0.14995734434356764,overlap_residual_graph_degenerate_or_disconnected;overlap_residual_graph_independent_rank3_selector_false;overlap_residual_graph_not_spatial_3d_candidate;overlap_residual_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,7,512,8,2,8192,512,False,False,False,False,12,12,12,False,2.6197484526156396,3.6520532485195814,1.587443656711698,H2,True,False,True,0.035815876493943744,1,0.02049627710278721,169.81815324479106,False,1,12,12,12,False,0.020637272857162617,168.8304402846562,2,False,0.017406796714003418,1427,92,0.39436307485322897,0.12565859624922673,overlap_residual_graph_degenerate_or_disconnected;overlap_residual_graph_independent_rank3_selector_false;overlap_residual_graph_not_spatial_3d_candidate;overlap_residual_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,7,512,8,3,8192,512,False,False,False,False,12,12,12,False,2.535368969340239,3.4335211517542588,1.637216786926219,H2,True,False,True,0.034264235878862175,1,0.020621822103028292,169.8952167369822,False,1,12,12,12,False,0.020764556432628943,168.90867282779718,2,False,0.024150715242166162,1464,92,0.3992554427592955,0.12234901617418213,overlap_residual_graph_degenerate_or_disconnected;overlap_residual_graph_negative_controls_did_not_all_fail;overlap_residual_graph_independent_rank3_selector_false;overlap_residual_graph_not_spatial_3d_candidate;overlap_residual_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,7,512,8,4,8192,512,False,False,False,False,12,12,12,False,2.5333999305867136,3.4389537103577177,1.6278461508157094,H2,True,False,True,0.03421010767341432,1,0.020718872364797147,168.85700265537045,False,1,12,12,12,False,0.020862958019583763,167.8701987124316,2,False,0.03069659586114311,1468,92,0.3992554427592955,0.12649988046340221,overlap_residual_graph_degenerate_or_disconnected;overlap_residual_graph_negative_controls_did_not_all_fail;overlap_residual_graph_independent_rank3_selector_false;overlap_residual_graph_not_spatial_3d_candidate;overlap_residual_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,7,512,12,1,8192,512,False,False,False,False,12,12,12,False,2.3901355589581903,3.3778550954565505,1.40241602245983,H2,True,False,True,0.0453347119452043,5,0.02037975063673075,170.0888114162919,False,4,12,12,12,False,0.020519142304546167,169.1003956218757,1,False,0.00911907869911168,1271,95,0.3500107020547945,0.1412098485062781,overlap_residual_graph_degenerate_or_disconnected;overlap_residual_graph_independent_rank3_selector_false;overlap_residual_graph_not_spatial_3d_candidate;overlap_residual_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,7,512,12,2,8192,512,False,False,False,False,12,12,12,False,2.6113640338480266,3.616599810963537,1.606128256732516,H2,True,False,True,0.03538412731615304,2,0.02053369302430361,169.6526078790097,False,1,12,12,12,False,0.020675205800678755,168.6650429435564,1,False,0.017406796714003418,1676,92,0.39436307485322897,0.10767956775346357,overlap_residual_graph_degenerate_or_disconnected;overlap_residual_graph_independent_rank3_selector_false;overlap_residual_graph_not_spatial_3d_candidate;overlap_residual_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,7,512,12,3,8192,512,False,False,False,False,12,12,12,False,2.4768356616984786,3.2810236729346203,1.6726476504623367,H2,True,False,True,0.03362853064378325,2,0.020737074552598607,169.47735854813513,False,1,12,12,12,False,0.020881414368103618,168.4913897059133,1,False,0.024150715242166162,1864,92,0.3992554427592955,0.09794826723131794,overlap_residual_graph_degenerate_or_disconnected;overlap_residual_graph_negative_controls_did_not_all_fail;overlap_residual_graph_independent_rank3_selector_false;overlap_residual_graph_not_spatial_3d_candidate;overlap_residual_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,7,512,12,4,8192,512,False,False,False,False,12,12,12,False,2.470134618852582,3.270553925457074,1.6697153122480897,H2,True,False,True,0.03364891611534057,7,0.02083299722958685,168.46160520031492,False,6,12,12,12,False,0.02097868015812504,167.47537727975885,1,False,0.03069659586114311,1869,92,0.3992554427592955,0.1013333945615152,overlap_residual_graph_degenerate_or_disconnected;overlap_residual_graph_negative_controls_did_not_all_fail;overlap_residual_graph_independent_rank3_selector_false;overlap_residual_graph_not_spatial_3d_candidate;overlap_residual_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,7,512,16,1,8192,512,False,False,False,False,12,12,12,False,2.3901355589581903,3.3778550954565505,1.40241602245983,H2,True,False,True,0.0453347119452043,1,0.020379966411164813,170.08855253506687,False,1,12,12,12,False,0.020519361040761238,169.10013826626047,1,False,0.00911907869911168,1274,95,0.3500107020547945,0.1408792436567594,overlap_residual_graph_degenerate_or_disconnected;overlap_residual_graph_independent_rank3_selector_false;overlap_residual_graph_not_spatial_3d_candidate;overlap_residual_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,7,512,16,2,8192,512,False,False,False,False,12,12,12,False,2.6108368254449323,3.615141950542028,1.6065317003478363,H2,True,False,True,0.03538271886963548,1,0.020535925282267258,169.64678278376917,False,3,12,12,12,False,0.020677468934623196,168.65923086394045,1,False,0.017406796714003418,1708,92,0.39436307485322897,0.10569961086744797,overlap_residual_graph_degenerate_or_disconnected;overlap_residual_graph_independent_rank3_selector_false;overlap_residual_graph_not_spatial_3d_candidate;overlap_residual_graph_not_strict_h3_candidate,
