row_index,field,ell,C_ell,D_ell,normalized_D_ell
0,record_signature,0.0,8.623335456820112e-33,0.0,0.0
1,record_signature,1.0,2.3536295779762258e-05,7.491835630844157e-06,0.0009884851029722495
2,record_signature,2.0,7.636412401489075e-05,7.292236687111426e-05,0.00962149690375034
3,record_signature,3.0,0.0001185931973511965,0.0002264963229061871,0.02988429700045771
4,record_signature,4.0,1.7194599919939696e-05,5.473211143491821e-05,0.007221444713081316
5,record_signature,5.0,5.8319911826117624e-05,0.00027845706743430317,0.036740083010221275
6,record_signature,6.0,0.00012470299320711792,0.0008335781070652503,0.10998366509877143
7,record_signature,7.0,5.005408337418361e-05,0.00044611586829236994,0.058861260675689656
8,record_signature,8.0,9.320280584349705e-05,0.0010680254827219256,0.14091703706350708
9,record_signature,9.0,7.388074170244904e-05,0.0010582636717116267,0.13962904767917195
10,record_signature,10.0,8.766313143976172e-05,0.0015347222765107879,0.20249377886573236
11,record_signature,11.0,8.050842616033918e-05,0.0016913574458836229,0.22316048048010517
12,record_signature,12.0,6.883861584836815e-05,0.001709136934108013,0.2255063353699167
13,record_signature,13.0,0.00012337899567426154,0.003573820620419558,0.4715357648045096
14,record_signature,14.0,6.68820608081473e-05,0.002235368222175767,0.2949381561684547
15,record_signature,15.0,9.465597771155529e-05,0.003615592019037671,0.4770471517727883
16,record_signature,16.0,9.962446660636235e-05,0.004312757557216519,0.5690323183931313
17,record_signature,17.0,7.668054276493673e-05,0.003734450750522801,0.4927295681017743
18,record_signature,18.0,8.205593399110395e-05,0.004466385766609612,0.5893022767670396
19,record_signature,19.0,0.00010862805283101927,0.006569702795271624,0.8668173814899108
20,record_signature,20.0,7.093872201112721e-05,0.0047419042711709485,0.6256546409634476
21,record_signature,21.0,8.539376105960116e-05,0.006278967702011804,0.8284573155782408
22,record_signature,22.0,8.080079013903103e-05,0.006507081649116977,0.8585550445734318
23,record_signature,23.0,8.626982210276151e-05,0.007579108282276745,1.0
24,record_signature,24.0,7.111216320486287e-05,0.006790711372806914,0.8959776163492155
