sample_id,sample_kind,slice_index,cycle,relative_time,slice_axis,slice_value,x,y,z,density,normalized_density,h3_green_potential,normalized_curvature_potential,curvature_potential,compactification_factor,emergent_spatial_scale_factor,local_metric_conformal_factor
volume_00000,volume,,,,,,-237.1260858800659,-841.1080385434093,-50.52625341938926,8545.650101892104,0.9986476592254633,0.0003765099191151665,9.619819516937055e-06,9.619819516937055e-06,9.619726976899734e-06,0.9999903802730231,0.9999807606385854
volume_00001,volume,,,,,,-237.1260858800659,-841.1080385434093,-17.85388565492771,8545.703690519253,0.9986539216111712,0.0004417702170087255,1.1287218582632206e-05,1.1287218582632206e-05,1.1287091182766863e-05,0.9999887129088172,0.9999774259450328
volume_00002,volume,,,,,,-237.1260858800659,-841.1080385434093,14.818482109533846,8545.758768077927,0.9986603579939378,0.0005256911570604786,1.3431396613550486e-05,1.3431396613550486e-05,1.3431216213558519e-05,0.9999865687837864,0.9999731377479705
volume_00003,volume,,,,,,-237.1260858800659,-841.1080385434093,47.4908498739954,8545.815605541182,0.9986670000397693,0.0006315305373542394,1.6135590273582617e-05,1.6135590273582617e-05,1.6135329920510088e-05,0.9999838646700794,0.9999677296005076
volume_00004,volume,,,,,,-237.1260858800659,-841.1080385434093,80.16321763845696,8545.874720008473,0.9986739081770885,0.0007611501393621001,1.94473680352501e-05,1.94473680352501e-05,1.9446989842481455e-05,0.9999805530101575,0.9999611063985004
volume_00005,volume,,,,,,-237.1260858800659,-841.1080385434093,112.83558540291853,8545.937154245059,0.9986812042638086,0.0009130847419697955,2.3329293533782628e-05,2.3329293533782628e-05,2.332874929054265e-05,0.9999766712507093,0.9999533430456492
volume_00006,volume,,,,,,-237.1260858800659,-841.1080385434093,145.50795316738007,8546.00508019777,0.9986891421143953,0.0010800861228821021,2.7596174861188627e-05,2.7596174861188627e-05,2.759541333333691e-05,0.9999724045866666,0.99994480993484
volume_00007,volume,,,,,,-237.1260858800659,-841.1080385434093,178.1803209318416,8546.083209233282,0.9986982723008061,0.0012473428280506452,3.1869579717294916e-05,3.1869579717294916e-05,3.186856407955151e-05,0.9999681314359206,0.9999362638874465
volume_00008,volume,,,,,,-237.1260858800659,-841.1080385434093,210.85268869630318,8546.182712277161,0.9987099002613089,0.001394632691069624,3.563283222933181e-05,3.563283222933181e-05,3.563156257584048e-05,0.9999643684374242,0.9999287381444566
volume_00009,volume,,,,,,-237.1260858800659,-841.1080385434093,243.52505646076474,8546.336884749706,0.9987279169103629,0.0015470195043088275,3.952631169879017e-05,3.952631169879017e-05,3.9524749431224336e-05,0.9999604752505687,0.9999209520633433
volume_00010,volume,,,,,,-237.1260858800659,-841.1080385434093,276.1974242252263,8546.691545515845,0.9987693626915148,6.329811814587611,0.16172654196099195,0.16172654196099195,0.1392122294873266,0.8607877705126734,0.7409555858641789
volume_00011,volume,,,,,,-237.1260858800659,-743.6543993927276,-50.52625341938926,8546.22769339377,0.9987151567703252,0.000459923043694794,1.1751022874568543e-05,1.1751022874568543e-05,1.1750884789652583e-05,0.9999882491152103,0.999976498368504
volume_00012,volume,,,,,,-237.1260858800659,-743.6543993927276,-17.85388565492771,8546.286250337891,0.9987219997552919,0.0005500636233380316,1.4054112549756617e-05,1.4054112549756617e-05,1.4053915034452959e-05,0.9999859460849656,0.9999718923674438
volume_00013,volume,,,,,,-237.1260858800659,-743.6543993927276,14.818482109533846,8546.346488772539,0.9987290392398295,0.0006698634585831445,1.7114995503186242e-05,1.7114995503186242e-05,1.711470258512846e-05,0.9999828852974147,0.9999657708877425
volume_00014,volume,,,,,,-237.1260858800659,-743.6543993927276,47.4908498739954,8546.408672341477,0.9987363060334405,0.0008252327994582834,2.1084678483110955e-05,2.1084678483110955e-05,2.1084233928817503e-05,0.9999789157660711,0.9999578319766872
volume_00015,volume,,,,,,-237.1260858800659,-743.6543993927276,80.16321763845696,8546.473352929454,0.9987438646295695,0.0010190710613576961,2.603724148419024e-05,2.603724148419024e-05,2.603656356389731e-05,0.9999739634364361,0.9999479275507748
volume_00016,volume,,,,,,-237.1260858800659,-743.6543993927276,112.83558540291853,8546.541741696497,0.9987518565648011,0.001246737647913829,3.185411737913105e-05,3.185411737913105e-05,3.1853102726657904e-05,0.9999681468972733,0.9999362948091668
volume_00017,volume,,,,,,-237.1260858800659,-743.6543993927276,145.50795316738007,8546.61646023853,0.9987605881997513,0.0014906250467444531,3.8085434643546095e-05,3.8085434643546095e-05,3.808398419845494e-05,0.9999619160158015,0.9999238334819929
volume_00018,volume,,,,,,-237.1260858800659,-743.6543993927276,178.1803209318416,8546.702779072002,0.9987706754488156,0.0017179844315287963,4.389446154049279e-05,4.389446154049279e-05,4.3892534901307654e-05,0.9999561074650988,0.9999122168567521
volume_00019,volume,,,,,,-237.1260858800659,-743.6543993927276,210.85268869630318,8546.806928731192,0.9987828464144084,0.0018931183822899758,4.836912983494311e-05,4.836912983494311e-05,4.836679037537974e-05,0.9999516332096245,0.9999032687585955
volume_00020,volume,,,,,,-237.1260858800659,-743.6543993927276,243.52505646076474,8546.872683547801,0.9987905305452711,0.00202378438703553,5.1707643161777896e-05,5.1707643161777896e-05,5.1704969619659105e-05,0.9999482950303803,0.9998965927341644
volume_00021,volume,,,,,,-237.1260858800659,-743.6543993927276,276.1974242252263,8546.703484181733,0.9987707578481853,0.001919883230630983,4.9052971076214426e-05,4.9052971076214426e-05,4.9050565000268196e-05,0.9999509494349997,0.9999019012759573
volume_00022,volume,,,,,,-237.1260858800659,-646.2007602420458,-50.52625341938926,8546.85146656647,0.9987880511214134,0.0005647040871026273,1.4428176052228612e-05,1.4428176052228612e-05,1.4427967882967921e-05,0.9999855720321171,0.9999711442724005
volume_00023,volume,,,,,,-237.1260858800659,-646.2007602420458,-17.85388565492771,8546.914311134966,0.9987953951596639,0.0006889036840888711,1.760147281394959e-05,1.760147281394959e-05,1.760116300755742e-05,0.9999823988369925,0.9999647979837859
volume_00024,volume,,,,,,-237.1260858800659,-646.2007602420458,14.818482109533846,8546.978410738782,0.9988028858617808,0.0008601630046037476,2.1977144397365314e-05,2.1977144397365314e-05,2.1976661413104066e-05,0.9999780233385868,0.9999560471601472
volume_00025,volume,,,,,,-237.1260858800659,-646.2007602420458,47.4908498739954,8547.043567638259,0.9988105001198382,0.0010888139060677676,2.7819169514892235e-05,2.7819169514892235e-05,2.7818395630228567e-05,0.9999721816043697,0.9999443639826026
volume_00026,volume,,,,,,-237.1260858800659,-646.2007602420458,80.16321763845696,8547.109470096602,0.9988182015041657,0.0013781903785293121,3.521273153331139e-05,3.521273153331139e-05,3.521149164050937e-05,0.9999647885083596,0.9999295782565683
