slice_index,cycle,relative_time,event_count,source_count,total_source_density,total_curvature_potential,max_curvature_potential,max_compactification_factor,mean_emergent_spatial_scale_factor
0,0.0,0.0,52,109,0.6693937702469452,30.113885867777412,6.336139679053968,0.5,0.720076915208597
1,4.0,0.031496062992125984,52,109,0.6693937702469452,30.113885867777412,6.336139679053968,0.5,0.720076915208597
2,8.0,0.06299212598425197,52,109,0.6693937702469452,30.113885867777412,6.336139679053968,0.5,0.720076915208597
3,12.0,0.09448818897637795,51,108,0.6615607688128009,29.32890650272956,6.336139679053968,0.5,0.7232111573497122
4,16.0,0.12598425196850394,51,108,0.6615607688128009,29.32890650272956,6.336139679053968,0.5,0.7232111573497122
5,20.0,0.15748031496062992,49,106,0.6498471076109846,27.888109649821605,6.336139679053968,0.5,0.7283614010741036
6,24.0,0.1889763779527559,48,105,0.6399404705360943,26.888109649821605,6.336139679053968,0.5,0.7331189302631475
7,28.0,0.2204724409448819,46,103,0.6268517650024091,25.804704399718847,6.336139679053968,0.5,0.734058543558273
8,32.0,0.25196850393700787,46,103,0.6280108554230631,26.082627680930752,6.336139679053968,0.5,0.7302046227825917
9,36.0,0.28346456692913385,41,98,0.5734594350706145,24.721561843122362,6.336139679053968,0.5,0.7228734158035804
10,40.0,0.31496062992125984,40,97,0.5499760915493604,24.597394363447563,6.336139679053968,0.5,0.718706797695227
11,45.0,0.3543307086614173,38,95,0.5181214268539968,24.84949115569643,6.336139679053968,0.5,0.7072403591231989
12,49.0,0.3858267716535433,38,95,0.5181214268539968,24.84949115569643,6.336139679053968,0.5,0.7072403591231989
13,53.0,0.41732283464566927,38,95,0.5291774926985685,25.725193341515443,6.336139679053968,0.5,0.6938564161360912
14,57.0,0.44881889763779526,38,95,0.5293287158568202,24.910154859446806,6.336139679053968,0.5,0.7029066598708045
15,61.0,0.48031496062992124,38,95,0.5293287158568202,24.910154859446806,6.336139679053968,0.5,0.7029066598708045
16,65.0,0.5118110236220472,35,92,0.5133038971560125,24.73164324720641,6.336139679053968,0.5,0.6868630691689369
17,69.0,0.5433070866141733,30,87,0.43301915039990985,23.4167368983516,6.336139679053968,0.5,0.6678464080481348
18,73.0,0.5748031496062992,27,84,0.40769582406293653,22.668223275530785,6.336139679053968,0.5,0.6521172531823547
19,77.0,0.6062992125984252,25,82,0.3791824628066352,21.559281343177418,6.336139679053968,0.5,0.652300345930149
20,81.0,0.6377952755905512,24,81,0.35743714847659536,21.351593106422527,6.336139679053968,0.5,0.6449783491414995
21,86.0,0.6771653543307087,22,79,0.34221300702510316,20.128079152199653,6.336139679053968,0.5,0.6437346527929848
22,90.0,0.7086614173228346,17,74,0.25705387677150876,16.4564926930613,6.336139679053968,0.5,0.6568914281837945
23,94.0,0.7401574803149606,14,71,0.23051443873681018,14.675994911924116,6.336139679053968,0.5,0.6590470467782816
24,98.0,0.7716535433070866,14,71,0.23066566189506174,13.860956429855477,6.336139679053968,0.5,0.6836119940582178
25,102.0,0.8031496062992126,14,71,0.23066566189506174,13.860956429855477,6.336139679053968,0.5,0.6836119940582178
26,106.0,0.8346456692913385,14,71,0.23051443873681018,14.675994911924116,6.336139679053968,0.5,0.6590470467782816
27,110.0,0.8661417322834646,14,71,0.23051443873681018,14.675994911924116,6.336139679053968,0.5,0.6590470467782816
28,114.0,0.8976377952755905,14,71,0.23051443873681018,14.675994911924116,6.336139679053968,0.5,0.6590470467782816
29,118.0,0.9291338582677166,14,71,0.23051443873681018,14.675994911924116,6.336139679053968,0.5,0.6590470467782816
30,122.0,0.9606299212598425,14,71,0.23051443873681018,14.675994911924116,6.336139679053968,0.5,0.6590470467782816
31,127.0,1.0,14,71,0.23051443873681018,14.675994911924116,6.336139679053968,0.5,0.6590470467782816
