worldline_id,observation_count,birth_cycle,death_cycle,h3_path_length,mean_h3_step,class_mode,particle_like,localization_pass,persistence_pass,sector_stability_pass,transportability_pass,bulk_localization_pass
worldline_000000,32,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000002,32,0,127,1.8477439880371092e-06,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000003,32,0,127,1.8477439880371092e-06,5.960464477539062e-08,threecycle,False,True,True,True,False,False
worldline_000004,32,0,127,1.8477439880371092e-06,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000005,32,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000006,32,0,127,1.8477439880371092e-06,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000007,32,0,127,1.8477439880371092e-06,5.960464477539062e-08,threecycle,False,True,True,True,False,False
worldline_000008,32,0,127,1.8477439880371092e-06,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000009,32,0,127,0.37245353094274025,0.012014630030410976,transposition,False,True,True,True,False,False
worldline_000010,32,0,127,3.5737582842716473,0.11528252529908539,transposition,False,True,True,True,False,False
worldline_000011,32,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000012,32,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000013,32,0,127,8.680933051755254,0.28003009844371785,transposition,False,True,True,True,False,False
worldline_000014,32,0,127,6.833618284561469,0.22043929950198288,transposition,False,True,True,True,False,False
worldline_000190,23,0,90,1.3113021850585935e-06,5.960464477539062e-08,threecycle,False,True,True,True,False,False
worldline_000192,23,0,90,1.3113021850585935e-06,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000015,22,0,86,0.20526133169049998,0.009774349128119047,transposition,False,True,True,True,False,False
worldline_000105,22,0,86,1.251697540283203e-06,5.960464477539061e-08,transposition,False,True,True,True,False,False
worldline_000215,22,0,86,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000355,22,0,86,1.251697540283203e-06,5.960464477539061e-08,transposition,False,True,True,True,False,False
worldline_000024,21,0,81,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000039,21,0,81,1.1920928955078123e-06,5.960464477539061e-08,transposition,False,True,True,True,False,False
worldline_000297,20,0,77,1.1324882507324217e-06,5.960464477539061e-08,threecycle,False,True,True,True,False,False
worldline_000339,19,0,73,1.072883605957031e-06,5.960464477539061e-08,threecycle,False,True,True,True,False,False
worldline_000076,18,0,69,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000114,18,0,69,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000331,18,0,69,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000169,17,0,65,0.40853114319700495,0.02553319644981281,transposition,False,True,True,True,False,False
worldline_000242,17,0,65,1.907348632812499e-06,1.1920928955078118e-07,transposition,False,True,True,True,False,False
worldline_000262,17,0,65,2.6943471198743825,0.1683966949921489,transposition,False,True,True,True,False,False
worldline_000335,17,0,65,9.536743164062499e-07,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000341,17,0,65,9.536743164062499e-07,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000001,16,0,61,8.940696716308593e-07,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000273,16,0,61,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000342,16,0,61,8.940696716308593e-07,5.960464477539062e-08,threecycle,False,True,True,True,False,False
worldline_000045,13,0,49,0.4724199207404215,0.03936832672836846,threecycle,False,True,True,True,False,False
worldline_000410,13,36,86,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000135,11,0,40,0.00021579186437159056,2.1579186437159057e-05,threecycle,False,True,True,True,False,False
worldline_000256,11,0,40,5.960464477539061e-07,5.960464477539061e-08,threecycle,False,True,True,True,False,False
worldline_000408,11,32,73,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000227,10,0,36,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000418,10,53,90,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000181,9,0,32,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000194,9,0,32,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000249,9,0,32,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000259,9,0,32,4.7683715820312495e-07,5.960464477539062e-08,threecycle,False,True,True,True,False,False
worldline_000263,9,0,32,4.7683715820312495e-07,5.960464477539062e-08,threecycle,False,True,True,True,False,False
worldline_000347,9,0,32,4.7683715820312495e-07,5.960464477539062e-08,threecycle,False,True,True,True,False,False
worldline_000156,8,0,28,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000108,7,0,24,5.057621821307281e-07,8.429369702178802e-08,transposition,False,True,True,True,False,False
worldline_000243,7,0,24,3.576278686523437e-07,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000087,6,0,20,2.9802322387695307e-07,5.960464477539061e-08,transposition,False,True,True,True,False,False
worldline_000100,5,0,16,2.3841857910156247e-07,5.960464477539062e-08,threecycle,False,True,True,True,False,False
worldline_000153,5,0,16,2.3841857910156247e-07,5.960464477539062e-08,threecycle,False,True,True,True,False,False
worldline_000073,3,0,8,1.1920928955078124e-07,5.960464477539062e-08,threecycle,False,True,True,True,False,False
