spectrum_kind,ell,mean_coefficient_power,mode_count
raw,2,0.17247632945195332,5
raw,3,0.08091730467943778,7
raw,4,0.04996707040497277,9
raw,5,0.032824435467419234,11
raw,6,0.025067498877197242,13
raw,7,0.018267463144078868,15
raw,8,0.013222644142242963,17
raw,9,0.011044172109019862,19
raw,10,0.00894959975898272,21
raw,11,0.007575188724278376,23
raw,12,0.006355145410316154,25
raw,13,0.005541715975433766,27
raw,14,0.004747348738922508,29
raw,15,0.004054822629005772,31
raw,16,0.0036468162114624923,33
smoothed,2,0.17247632945195332,5
smoothed,3,0.08091730467943778,7
smoothed,4,0.04996707040497277,9
smoothed,5,0.032824435467419234,11
smoothed,6,0.025067498877197242,13
smoothed,7,0.018267463144078868,15
smoothed,8,0.013222644142242963,17
smoothed,9,0.011044172109019862,19
smoothed,10,0.00894959975898272,21
smoothed,11,0.007575188724278376,23
smoothed,12,0.006355145410316154,25
smoothed,13,0.005541715975433766,27
smoothed,14,0.004747348738922508,29
smoothed,15,0.004054822629005772,31
smoothed,16,0.0036468162114624923,33
