sweep,loop,mean_normalized_trace,variance
0,plaquette_1x1,-0.04886587740589602,0.2370775308781546
1,plaquette_1x1,-0.04187685796490328,0.25067068070819665
2,plaquette_1x1,-0.024540819312857568,0.25241508174563493
3,plaquette_1x1,-0.020072022774728526,0.26776207160672433
4,plaquette_1x1,-0.007300498052182763,0.2700005757228027
5,plaquette_1x1,-0.009511459944275793,0.2787743054383281
6,plaquette_1x1,-0.006029092280218956,0.27631909300886
7,plaquette_1x1,-0.005328411380364255,0.27692777591950896
8,plaquette_1x1,-0.003829331721766469,0.2792031993407818
9,plaquette_1x1,-0.006137666119053707,0.27808385090079946
10,plaquette_1x1,-0.010153334321223695,0.2917693455805752
11,plaquette_1x1,-0.007338027218674266,0.2970995022349065
12,plaquette_1x1,-0.0022097278471828485,0.29548757971920414
13,plaquette_1x1,0.00407289828398381,0.303063863390327
14,plaquette_1x1,0.020953706810608375,0.30160539627683985
15,plaquette_1x1,0.02191413974516181,0.30935889131809297
