charge_conservation_pass,contact_event,contact_outcome,cycle,h3_separation,left_h3_spatial_point,left_velocity,mode,relative_speed,right_h3_spatial_point,right_velocity,step,stress_kernel,support_overlap_fraction,support_overlap_node_count,tangent_separation
True,,,0,1.2009077215015367,"[0.09711268445067973, 0.21055432216723544, -0.5953029636661602]","[0.010014321029524693, -0.01850160308553195, 0.015304135309877984]",free_two_defect_dynamics,0.035,"[-0.21599110999070864, -0.1969778549559081, 0.48907867511037106]","[0.01914651503406519, -0.006615247919440264, -0.01632366248777085]",0,0.40947033547004685,0.0,0,1.2
True,,,1,1.1412577607962193,"[0.09841481900133342, 0.17852206968443887, -0.574005607710199]","[0.0013021345506536918, -0.03203225248279656, 0.02129735595596117]",free_two_defect_dynamics,0.06296453644109537,"[-0.1897845140533323, -0.19287010576765226, 0.4652295923197866]","[0.02620659593737634, 0.00410774918825585, -0.02384908279058447]",1,0.4343163273328902,0.0,0,1.1406142224878466
True,,,2,1.0564456278246985,"[0.09679525014204428, 0.13423253544050892, -0.5435983506580869]","[-0.0016195688592891477, -0.04428953424392995, 0.030407257052112106]",free_two_defect_dynamics,0.09201257916448206,"[-0.16054507621469158, -0.17890951073260072, 0.4314421543488741]","[0.02923943783864073, 0.01396059503505153, -0.033787437970912514]",2,0.4725725140076316,0.0,0,1.0559289611783091
True,,,3,0.9448217172682621,"[0.08526888713101881, 0.08807753508506579, -0.501051580900851]","[-0.011526363011025475, -0.046155000355443135, 0.042546769757235925]",free_two_defect_dynamics,0.11909082630370514,"[-0.12333434712979117, -0.16238179158130256, 0.3852297136602544]","[0.037210729084900404, 0.016527719151298175, -0.046212440688619766]",3,0.528349077657961,0.0,0,0.9443197110868489
True,,,4,0.803203584568704,"[0.07178907383135998, 0.04319140572291358, -0.4417175698143186]","[-0.013479813299658833, -0.04488612936215221, 0.0593340110865324]",free_two_defect_dynamics,0.14650498335970819,"[-0.08370577688422601, -0.14548108893603914, 0.3228033160051553]","[0.03962857024556517, 0.016900702645263405, -0.062426397655099025]",4,0.6078524821383902,0.0,0,0.8026631570553665
True,,,5,0.6270728846800604,"[0.0529161126302126, -0.0010190289547294049, -0.3641683571520798]","[-0.018872961201147377, -0.04421043467764298, 0.07754921266223881]",free_two_defect_dynamics,0.18108061999142758,"[-0.039242204397253753, -0.12776744660131822, 0.24241556933544955]","[0.044463572486972254, 0.017713642334720926, -0.08038774666970577]",5,0.717761524351313,0.0,0,0.6265001010744352
True,,,6,0.41212467772495437,"[0.033273380891979294, -0.0538259527792372, -0.26629252959893307]","[-0.019642731738233304, -0.052806923824507794, 0.09787582755314671]",free_two_defect_dynamics,0.22329991715012654,"[0.006710453516685817, -0.10272935666820136, 0.14154469455442362]","[0.04595265791393957, 0.025038089933116858, -0.10087087478102594]",6,0.8548128205755461,0.0,0,0.411616731229171
True,,,7,0.24616632998992544,"[0.016271281761025897, -0.09062897110367332, -0.18531847322741754]","[-0.025823081656247193, -0.05589705953767038, 0.12298479461941329]",free_two_defect_dynamics,0.27377653296321613,"[0.039840027600663304, -0.08438493273672228, 0.05928750781951672]","[0.05077537679054491, 0.02811521315563233, -0.12606982630105906]",7,0.9428644312885428,0.0,0,0.2458181436743727
True,,,8,0.15349233516632443,"[0.009369206561036725, -0.10806566874181571, -0.13459403704750322]","[-0.02051883795435962, -0.051836695910929806, 0.15079616726047126]",free_two_defect_dynamics,0.3213412255166175,"[0.055210990934189484, -0.07605700757410379, 0.008111100745106695]","[0.04624879990356547, 0.025057410918268942, -0.15398172249916067]",8,0.9769823954368434,0.302307567425798,2,0.15326702168657091
True,,,9,0.1051490003136087,"[0.006542451254911586, -0.11635455044264918, -0.10203243936674136]","[-0.01556495661138507, -0.045641051332182506, 0.1792938546892387]",free_two_defect_dynamics,0.3713295089660054,"[0.06243365664193843, -0.072659999417016, -0.024649350787033418]","[0.04015116595761799, 0.01888414109049541, -0.18211701600729543]",9,0.9890645930075237,0.522049998574506,4,0.10498182236502378
True,contact_scatter,scatter,10,0.08219535718585881,"[0.00640860303155266, -0.11976347095483444, -0.07918979056881413]","[-0.08238408526358938, -0.10739327373150909, 0.16179444188679748]",free_two_defect_dynamics,0.40590942311873607,"[0.06528877489701043, -0.07219234492676208, -0.04756342632016458]","[0.11273492148361726, 0.06175312648472118, -0.15283266975449408]",10,0.9932892615212531,0.6263847400642781,5,0.08203726949425394
True,,scatter,11,0.09440436102172484,"[0.0011332956201906977, -0.12787276978965478, -0.06395339001982826]","[-0.05897404513073763, -0.09065597853753568, 0.1703317178579177]",free_two_defect_dynamics,0.3887796885159621,"[0.07379309544587204, -0.06795083889260799, -0.06290694795407806]","[0.0899317195574435, 0.04485319302972548, -0.16225508865483493]",11,0.9911665420174987,0.570889268083069,5,0.09418693834144681
True,,scatter,12,0.11635238163854801,"[-0.00256963392451144, -0.13594472609909017, -0.045231827188010595]","[-0.034033871332389436, -0.07418988644519055, 0.17207112716225884]",free_two_defect_dynamics,0.3646274453986929,"[0.08141205597574346, -0.06473890310580992, -0.08190694768265452]","[0.06559194663945786, 0.027651688168094407, -0.16357178429529584]",12,0.9866429493914253,0.47112553800659995,4,0.11605282387753253
True,,scatter,13,0.15052537887326314,"[-0.004735477077039601, -0.14425413377510032, -0.021187564851185402]","[-0.014413639800500616, -0.055298930145389606, 0.16001405096541743]",free_two_defect_dynamics,0.32445232595424955,"[0.08869772485073915, -0.06329887735835603, -0.10633457627611706]","[0.04543192214478282, 0.0089797023124862, -0.15232563261949172]",13,0.9778441158930287,0.31579373239425845,3,0.15011172611949852
True,,scatter,14,0.1998800204545681,"[-0.0033740653449093137, -0.15301186392071153, 0.0106255077481615]","[0.006224416573421559, -0.04004061326737507, 0.14545035250209506]",free_two_defect_dynamics,0.28523178069824867,"[0.09473021302169952, -0.06482364591121897, -0.13876769260413077]","[0.025507576298177428, -0.0064472816352031965, -0.13713913162846192]",14,0.9615828214094717,0.09145445247923589,1,0.1992986190143399
True,,scatter,15,0.27043887566427705,"[0.003216689349636097, -0.1631076620405772, 0.05278095682256656]","[0.01904284972594403, -0.02917006858397882, 0.12180090430583859]",free_two_defect_dynamics,0.23626493302601773,"[0.0993641421946727, -0.07157601792397632, -0.1818417828023777]","[0.012274641068832321, -0.01788610479919072, -0.11409734089888103]",15,0.9318473104270556,0.0,0,0.2695741169185035
True,,scatter,16,0.3674987217910776,"[0.019570667555095657, -0.17273106715690276, 0.1089697045326033]","[0.028645578445652343, -0.016856327109569476, 0.09842003945886973]",free_two_defect_dynamics,0.19105351532438156,"[0.10096138089015279, -0.08987931257721435, -0.23823039984328528]","[0.002561521284893848, -0.02935333270514129, -0.09043146975136197]",16,0.8810143353662367,0.0,0,0.36611033027319817
True,,scatter,17,0.49267767321534867,"[0.054290941508802315, -0.18086010747588416, 0.18119020811999903]","[0.03568591510755016, -0.008355125397795243, 0.07422910209408601]",free_two_defect_dynamics,0.14855822654681078,"[0.09683192612019945, -0.12697786975015554, -0.30420863752154736]","[-0.004129454769953342, -0.037098557172941186, -0.06597823767826211]",17,0.8046791839075385,0.0,0,0.4902296097383193
True,,scatter,18,0.5823313178953687,"[0.09253589048573711, -0.18379361814588244, 0.23186479537061247]","[0.0382449489769348, -0.0029335106699982885, 0.05067458725061344]",free_two_defect_dynamics,0.11025619314341206,"[0.09028269396018268, -0.16866755410416454, -0.34652796654572127]","[-0.006549232160016763, -0.041689684354008986, -0.04231932902417389]",18,0.7467647739054503,0.0,0,0.578594902972003
True,,scatter,19,0.634234305139747,"[0.13326586329152404, -0.18712182159070948, 0.2601086071922888]","[0.04072997280578693, -0.003328203444827048, 0.028243811821676335]",free_two_defect_dynamics,0.07862519131123724,"[0.08202011795707521, -0.21025665590381226, -0.3664272178486409]","[-0.008262576003107463, -0.04158910179964774, -0.01989925130291966]",19,0.7131379931495221,0.0,0,0.6290536440028754
True,,scatter,20,0.6488154459106726,"[0.17356832943977663, -0.19357550986655192, 0.26702267920835915]","[0.04030246614825257, -0.006453688275842455, 0.006914072016070378]",free_two_defect_dynamics,0.058134075681374346,"[0.07457965757372119, -0.24942187332743015, -0.3650030986866132]","[-0.00744046038335403, -0.03916521742361791, 0.0014241191620277308]",20,0.7037488433484642,0.0,0,0.6421636531238395
True,,scatter,21,0.6264219260444255,"[0.21281461103490532, -0.20051982714927122, 0.25269440927992237]","[0.0392462815951287, -0.006944317282719287, -0.014328269928436768]",free_two_defect_dynamics,0.06604622844874684,"[0.06885486389980869, -0.2876928308514213, -0.34247559169142217]","[-0.005724793673912496, -0.03827095752399114, 0.02252750699519103]",21,0.718182145118522,0.0,0,0.6185069695855385
True,,scatter,22,0.5675725569496541,"[0.24940215774963917, -0.2097686645745359, 0.21695649655894544]","[0.03658754671473385, -0.009248837425264684, -0.03573791272097692]",free_two_defect_dynamics,0.09238388393007986,"[0.06649562020366248, -0.3234396323533655, -0.2987415758684884]","[-0.002359243696146206, -0.03574680150194423, 0.0437340158229338]",22,0.7563503511668263,0.0,0,0.5588563252735038
True,,scatter,23,0.47344538896332194,"[0.2790787882754291, -0.22128640618222672, 0.15958038961699106]","[0.02967663052578991, -0.01151774160769081, -0.057376106941954386]",free_two_defect_dynamics,0.1268502532571772,"[0.07120191212821178, -0.3562136309539349, -0.2335793603141637]","[0.004706291924549297, -0.03277399860056938, 0.06516221555432467]",23,0.8168929966713747,0.0,0,0.4647501915946337
