cycle,phase,beta,phi_before,phi,delta_phi,mismatch_edges,active_edges_before_repair,repair_budget,chosen_edges,sector_edges_changed,mismatch_definition,committed_records,committed_fraction,record_entropy,modular_depth_mean,modular_depth_std,observer_readback_drive_edges
0,exploration,0.05,325845,324531,-1314,324531,325845,1314,1314,112,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.5007729348765673,0.2877089163720019,1173
1,exploration,0.052296773575815116,324525,323244,-1281,323244,324525,1281,1281,104,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.5005926356535462,0.28709627662783715,1173
2,exploration,0.05469905052880149,323251,322010,-1241,322010,323251,1241,1241,105,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.5004124013003446,0.2864898807904762,1173
3,exploration,0.057211677206336034,322025,320818,-1207,320818,322025,1207,1207,101,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.5002322317881305,0.2858896821282861,1173
4,exploration,0.05983972257504758,320833,319642,-1191,319642,320833,1191,1191,108,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.5000521271530898,0.2852957304412048,1173
5,exploration,0.0625884884469371,319653,318449,-1204,318449,319653,1204,1204,92,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4998720873555442,0.28470818781159946,1173
6,exploration,0.0654635201752398,318488,317240,-1248,317240,318488,1248,1248,111,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4996921123448926,0.28412629425950664,1173
7,exploration,0.06847061784160642,317243,315922,-1321,315922,317243,1321,1321,94,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4995122020668905,0.2835501141772345,1173
8,exploration,0.07161584795717316,315946,314533,-1413,314533,315946,1413,1413,103,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49933235650725527,0.2829799166506276,1173
9,exploration,0.07490555570112571,314546,312999,-1547,312999,314546,1547,1547,130,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49915257563391946,0.28241536708866083,1173
10,exploration,0.07834637772144759,313033,311321,-1712,311321,313033,1712,1712,157,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4989728594183898,0.2818553164500051,1173
