control,cycle,h3_separation,left_h3_spatial_point,local_readout_contraction,mode,right_h3_spatial_point,step,stress_kernel,tangent_separation
no_contraction,0,1.1999999999999997,"[-0.6, 0.0, 0.0]",1.0,no_contraction_control,"[0.6, 0.0, 0.0]",0,0.40983606557377056,1.2
no_contraction,1,1.1999999999999997,"[-0.6, 0.0, 0.0]",1.0,no_contraction_control,"[0.6, 0.0, 0.0]",1,0.40983606557377056,1.2
no_contraction,2,1.1999999999999997,"[-0.6, 0.0, 0.0]",1.0,no_contraction_control,"[0.6, 0.0, 0.0]",2,0.40983606557377056,1.2
no_contraction,3,1.1999999999999997,"[-0.6, 0.0, 0.0]",1.0,no_contraction_control,"[0.6, 0.0, 0.0]",3,0.40983606557377056,1.2
no_contraction,4,1.1999999999999997,"[-0.6, 0.0, 0.0]",1.0,no_contraction_control,"[0.6, 0.0, 0.0]",4,0.40983606557377056,1.2
no_contraction,5,1.1999999999999997,"[-0.6, 0.0, 0.0]",1.0,no_contraction_control,"[0.6, 0.0, 0.0]",5,0.40983606557377056,1.2
no_contraction,6,1.1999999999999997,"[-0.6, 0.0, 0.0]",1.0,no_contraction_control,"[0.6, 0.0, 0.0]",6,0.40983606557377056,1.2
no_contraction,7,1.1999999999999997,"[-0.6, 0.0, 0.0]",1.0,no_contraction_control,"[0.6, 0.0, 0.0]",7,0.40983606557377056,1.2
no_contraction,8,1.1999999999999997,"[-0.6, 0.0, 0.0]",1.0,no_contraction_control,"[0.6, 0.0, 0.0]",8,0.40983606557377056,1.2
no_contraction,9,1.1999999999999997,"[-0.6, 0.0, 0.0]",1.0,no_contraction_control,"[0.6, 0.0, 0.0]",9,0.40983606557377056,1.2
no_contraction,10,1.1999999999999997,"[-0.6, 0.0, 0.0]",1.0,no_contraction_control,"[0.6, 0.0, 0.0]",10,0.40983606557377056,1.2
no_contraction,11,1.1999999999999997,"[-0.6, 0.0, 0.0]",1.0,no_contraction_control,"[0.6, 0.0, 0.0]",11,0.40983606557377056,1.2
no_contraction,12,1.1999999999999997,"[-0.6, 0.0, 0.0]",1.0,no_contraction_control,"[0.6, 0.0, 0.0]",12,0.40983606557377056,1.2
no_contraction,13,1.1999999999999997,"[-0.6, 0.0, 0.0]",1.0,no_contraction_control,"[0.6, 0.0, 0.0]",13,0.40983606557377056,1.2
no_contraction,14,1.1999999999999997,"[-0.6, 0.0, 0.0]",1.0,no_contraction_control,"[0.6, 0.0, 0.0]",14,0.40983606557377056,1.2
no_contraction,15,1.1999999999999997,"[-0.6, 0.0, 0.0]",1.0,no_contraction_control,"[0.6, 0.0, 0.0]",15,0.40983606557377056,1.2
