sample_id,sample_kind,slice_index,cycle,relative_time,slice_axis,slice_value,x,y,z,density,normalized_density,h3_green_potential,normalized_curvature_potential,curvature_potential,compactification_factor,emergent_spatial_scale_factor,local_metric_conformal_factor
volume_00000,volume,,,,,,-7.54665557127362,-8.354742574901804,-3.4892452312314424,1270.5748840182032,0.2790013299030563,4.020191392573089,0.00839502409531088,0.00839502409531088,0.008325134391497558,0.9916748656085025,0.9834190390796415
volume_00001,volume,,,,,,-7.54665557127362,-8.354742574901804,-2.729507497214216,1508.415182636155,0.33122789321201423,5.796680695538031,0.012104715760987362,0.012104715760987362,0.011959944037891372,0.9880400559621088,0.976223152185607
volume_00002,volume,,,,,,-7.54665557127362,-8.354742574901804,-1.9697697631969895,1784.0876071914552,0.3917618877336837,8.579632501844841,0.017916117554741602,0.017916117554741602,0.017600779912769295,0.9823992200872308,0.9651082276279993
volume_00003,volume,,,,,,-7.54665557127362,-8.354742574901804,-1.210032029179763,2090.7385037094637,0.45909834229503726,12.94610828535643,0.027034257920369682,0.027034257920369682,0.02632264475297158,0.9736773552470284,0.9480475921208479
volume_00004,volume,,,,,,-7.54665557127362,-8.354742574901804,-0.4502942951625366,2409.8944726313857,0.5291807442815376,19.637750669035114,0.041007846131111754,0.041007846131111754,0.039392446736608876,0.960607553263391,0.9227668713866786
volume_00005,volume,,,,,,-7.54665557127362,-8.354742574901804,0.30944343885468983,2707.610758813261,0.594555277355774,29.22771202736164,0.06103374759067461,0.06103374759067461,0.057522908888869954,0.9424770911111301,0.8882630672692974
volume_00006,volume,,,,,,-7.54665557127362,-8.354742574901804,1.0691811728719163,2935.672711622393,0.6446346461001071,41.17225608232948,0.08597652403017576,0.08597652403017576,0.07916978141581517,0.9208302185841848,0.8479282914577976
volume_00007,volume,,,,,,-7.54665557127362,-8.354742574901804,1.8289189068891423,3043.4786392515525,0.6683073926326423,52.234494691183926,0.10907685697476528,0.10907685697476528,0.09834923187586367,0.9016507681241362,0.8129741076588449
volume_00008,volume,,,,,,-7.54665557127362,-8.354742574901804,2.588656640906369,3001.424017961709,0.6590727576528219,53.28464475854835,0.11126979613072276,0.11126979613072276,0.10012851651160479,0.8998714834883952,0.8097686867956051
volume_00009,volume,,,,,,-7.54665557127362,-8.354742574901804,3.348394374923596,2821.499453929411,0.6195637186511352,37.785062176199354,0.07890333480093047,0.07890333480093047,0.07313290473375819,0.9268670952662418,0.8590826122872806
