object_id,observer_count,visible_signature_key,persistence,overlap_agreement,observer_ids_json,spatial_embedding_available,claim_boundary
neutral_object_9c7d2a29474c,77,8:0:2:0:0:8,32.0,0.7395833333333334,"[1705,2370,2410,4314,7655,8785,9009,9988,10543,10584,10688,11220,11304,11592,12186,12517,12929,13168,13530,13827,15884,16028,18290,18888,21070,21143,22132,22221,22395,22611,22742,23017,23618,24259,24581,26655,26725,28202,29266,29566,29943,31244,34938,35776,35778,37145,41749,42450,42555,43149,43847,43874,44507,45111,46331,46691,48608,48937,49958,51047,51681,53466,53751,54645,55721,56582,57824,59196,60082,60226,63114,63601,63665,64016,64076,64093,64968]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_3795c5c3e8d3,75,0:0:2:0:0:8,32.0,0.7400390625,"[1282,1421,1638,2048,3736,6344,7480,7964,9179,9180,12786,12920,13590,15683,17602,18470,18614,19638,20122,21194,21253,21806,22775,22830,23152,23182,23571,25339,27240,28236,28524,30254,31597,33368,33375,34444,36063,36772,36989,37973,38154,40016,43836,44800,46275,46821,47249,47626,48034,48284,48872,50100,50930,52212,52353,53862,54018,54309,54459,54527,54847,55209,55281,55758,56268,57427,57968,58230,58730,59683,60725,62198,62774,63102,63434]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_c60e16a38265,68,0:0:2:0:0:0,32.0,0.7387369791666667,"[841,1178,1648,4279,5744,6193,6505,6818,7233,10136,10778,11235,11735,12345,13466,13833,16799,19804,20128,20401,20649,21011,21367,21783,23642,24040,24053,24815,26080,26868,26953,27072,27174,29483,30764,32315,34747,35412,35894,35910,36597,37978,38012,39064,39287,40034,40140,41360,41532,41560,44894,47233,47619,47673,48214,48342,49774,50743,55002,55654,57928,60445,60912,62407,63118,64493,65244,65351]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_ae631f5cfa12,54,8:0:2:0:0:0,32.0,0.7393229166666667,"[503,579,615,1314,3408,3779,4655,5154,5406,7003,11629,13027,13781,17354,24208,24217,25212,26947,27205,28281,29221,30507,31965,35919,36449,38948,39328,39689,41252,41367,42327,42414,44098,45230,47926,51592,52881,54207,54639,55529,55777,56126,57001,57755,57881,58742,59424,59547,60145,60513,61186,61975,63270,63558]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_35f097007c5f,48,8:0:2:0:0:3,32.0,0.741015625,"[276,522,535,631,776,868,3933,4977,5713,6476,6675,7216,7326,7874,10836,12665,12907,13728,13729,17491,27044,27522,28008,32804,36106,37862,39954,40187,40853,42563,43992,44039,45647,45700,46055,46941,48231,48642,49729,50338,50479,50948,51147,53999,54457,55952,59132,59484]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_70459d0dd27e,41,0:0:2:0:0:3,32.0,0.7395182291666667,"[609,1877,2631,2684,4238,4539,11804,14051,14571,18569,19928,20938,23496,24482,24560,28408,29271,30131,31207,38967,41094,43889,44599,44658,45054,46374,47647,49441,50897,54987,56723,57799,59690,60484,60543,60615,60722,60848,64603,64685,65439]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_3d7946ff4a95,40,0:0:2:0:0:10,32.0,0.7416341145833334,"[1987,2341,4300,10264,10340,10905,11104,12324,14559,15261,16267,17419,20842,21094,22469,22672,24986,31017,32467,34225,35547,37771,37942,39215,43766,45580,45720,46590,47173,47746,49058,51099,51918,53833,55018,58295,60126,61431,61482,62531]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_02e44d45a2af,38,8:0:2:0:0:11,32.0,0.73798828125,"[2673,2728,3155,3731,6195,6881,8061,10812,13106,14555,15053,16583,16961,17193,17292,17975,19989,20087,22675,23842,30608,31739,37294,38192,39556,40663,40967,42242,55373,55396,55681,58364,58655,59955,60719,61079,61854,62635]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_348bbf031c70,37,8:0:2:0:0:10,32.0,0.7399739583333333,"[4333,5468,7257,8888,10278,11510,12733,14404,19395,21856,24596,29598,30762,32946,33525,33674,33827,35845,36491,36798,37805,41428,43693,48799,49125,49697,50618,53270,57501,57847,57916,60000,61042,62764,64248,64337,64401]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_d64806ffa670,36,8:0:2:0:0:15,32.0,0.739453125,"[1850,3432,6452,8629,8852,9104,10364,12433,13724,15702,18472,18524,21822,21877,22193,22590,23200,23633,27365,38968,39659,41811,42853,45368,46846,47994,48636,49157,55458,61037,62010,62546,63111,63591,65115,65118]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_3fc0d4cb8e83,34,0:0:2:0:0:6,32.0,0.7379231770833333,"[2909,3785,9269,11397,13748,14003,18365,19629,22158,24843,25305,26902,27677,27882,30007,30424,30568,30815,32357,32643,33647,34672,36243,40928,41910,43020,43392,43884,44449,57508,58342,59630,61627,61903]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_646771d90b0e,34,0:0:2:0:0:13,32.0,0.7384765625,"[3078,10299,12960,15833,16784,17250,17574,18445,19234,21670,24993,27135,27214,28353,29616,30316,30858,32810,39350,39583,40107,44062,48838,48911,50015,50248,51474,54663,56601,56827,60481,60857,63295,64522]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_c11c66be7dc1,34,0:0:2:0:0:15,32.0,0.7373697916666666,"[1852,3771,4407,4593,9261,9299,10469,12638,13113,13443,13447,17261,19402,20568,22547,23116,23385,26319,27951,35238,35651,38645,44882,44899,45050,48746,50863,57761,61438,61613,62379,63231,63776,64916]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_b8c2d5501f81,32,8:0:2:0:0:13,32.0,0.7407877604166666,"[4365,9322,15566,15919,18450,24059,25334,25412,25932,26570,27406,28452,34181,36848,37422,37816,37914,38971,39725,43797,47347,49647,50266,51990,52312,52787,54148,56104,58746,60623,61235,64853]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_3b0acff28b46,29,0:0:2:0:0:14,32.0,0.7397135416666667,"[1755,7813,8286,8337,8570,8807,9605,10393,10427,12105,18186,18451,23411,25281,26649,31182,34266,34522,41048,43976,45802,46690,50506,51357,51762,52173,53987,54751,62184]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_5cbfc47dc98d,28,0:0:2:0:0:1,32.0,0.7387044270833334,"[2123,5281,13121,13759,14333,14513,16859,17264,20337,20470,33366,35008,35678,36199,40792,42612,43409,48158,48336,49582,49621,54833,54990,56896,61797,62083,62600,65119]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_c69ba66c2663,27,8:0:2:0:0:6,32.0,0.7357421875,"[5214,5417,7081,7612,9860,14075,14109,17448,22720,23945,27813,28539,29467,30645,31358,31632,31776,34879,37984,44381,44902,51352,53327,59288,62757,64455,64898]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_e3971d2fb591,27,8:0:2:0:0:1,32.0,0.739453125,"[1674,6342,10084,11437,11526,13040,13459,14485,21658,23225,30098,30426,31140,37038,40528,47524,47668,49185,53414,54780,55246,55299,56011,56521,57057,57506,64878]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_0fc791c9dcb2,25,8:0:2:0:0:9,32.0,0.7406901041666667,"[2266,4260,4783,5663,6266,11732,15980,16404,17989,19175,22476,32328,33250,33669,34447,37434,44889,53475,54875,58291,58496,60004,60168,61512,63145]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_7ed17aedf808,25,8:0:2:0:0:12,32.0,0.7416015625,"[2161,2594,2596,12103,15809,16315,19942,20396,23476,29474,30777,30866,31243,31380,34485,35578,35833,36740,36820,40060,40177,47593,47792,56803,60446]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_d8dc5e9ce1d5,25,0:0:2:0:0:12,32.0,0.7400390625,"[1395,1558,1814,9433,12388,18194,18771,20190,24223,31655,33066,33422,35417,35629,37154,37442,37620,37998,40919,45453,46848,50785,55361,58884,60793]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
neutral_object_597c01d8612a,24,0:0:2:0:0:4,32.0,0.7384440104166667,"[4754,8999,9599,10408,10558,14278,15264,16718,17239,18848,20898,23670,28814,28920,33855,39351,47797,48747,50344,50521,50694,52222,57050,63084]",False,"Neutral-object candidate from observer-visible record/transition histories. No H3/S2/support coordinate is attached here; render as an audit/network row, not a neutral 3D point."
