worldline_id,observation_count,birth_cycle,death_cycle,h3_path_length,mean_h3_step,class_mode,particle_like,localization_pass,persistence_pass,sector_stability_pass,transportability_pass,bulk_localization_pass
worldline_000000,12,0,127,3.278255462646484e-07,2.980232238769531e-08,transposition,False,True,True,True,False,False
worldline_000002,12,0,127,9.272306672396682e-07,8.429369702178802e-08,threecycle,False,True,True,True,False,False
worldline_000003,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000010,12,0,127,4.636153336198344e-07,4.2146848510894035e-08,transposition,False,True,True,True,False,False
worldline_000012,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000017,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000020,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000021,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000023,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000031,12,0,127,6.556510925292968e-07,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000038,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000041,12,0,127,6.556510925292968e-07,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000049,12,0,127,2.521158726438355,0.22919624785803228,transposition,False,True,True,True,False,False
worldline_000051,12,0,127,6.556510925292968e-07,5.960464477539062e-08,threecycle,False,True,True,True,False,False
worldline_000052,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000055,12,0,127,3.278255462646484e-07,2.980232238769531e-08,threecycle,False,True,True,True,False,False
worldline_000060,12,0,127,6.556510925292968e-07,5.960464477539062e-08,threecycle,False,True,True,True,False,False
worldline_000061,12,0,127,1.2068801154111741,0.10971637412828855,transposition,False,True,True,True,False,False
worldline_000067,12,0,127,4.636153336198344e-07,4.2146848510894035e-08,threecycle,False,True,True,True,False,False
worldline_000068,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000070,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000075,12,0,127,3.111768373929671,0.28288803399360646,transposition,False,True,True,True,False,False
worldline_000095,12,0,127,4.636153336198344e-07,4.2146848510894035e-08,transposition,False,True,True,True,False,False
worldline_000106,12,0,127,0.9651338700736385,0.08773944273396714,transposition,False,True,True,True,False,False
worldline_000112,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000117,12,0,127,3.215098381552771,0.2922816710502519,transposition,False,True,True,True,False,False
worldline_000119,12,0,127,2.333293223067532,0.21211756573341198,transposition,False,True,True,True,False,False
worldline_000121,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000126,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000135,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000139,12,0,127,0.0,0.0,threecycle,False,True,True,True,False,False
worldline_000140,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000141,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
worldline_000145,12,0,127,0.5216720270415169,0.04742472973104699,transposition,False,True,True,True,False,False
worldline_000148,12,0,127,6.556510925292968e-07,5.960464477539062e-08,transposition,False,True,True,True,False,False
worldline_000152,12,0,127,3.004085096202553,0.27309864510932297,transposition,False,True,True,True,False,False
worldline_000157,12,0,127,0.0,0.0,transposition,False,True,True,True,False,False
