control_name,mode,step,cycle,left_x,left_y,left_z,right_x,right_y,right_z,tangent_separation,h3_separation,stress_kernel,local_readout_contraction
noContraction,no_contraction_control,0,0,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,1,1,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,2,2,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,3,3,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,4,4,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,5,5,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,6,6,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,7,7,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,8,8,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,9,9,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,10,10,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,11,11,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,12,12,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,13,13,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,14,14,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,15,15,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,16,16,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,17,17,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,18,18,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,19,19,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,20,20,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,21,21,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,22,22,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,23,23,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,24,24,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,25,25,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,26,26,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,27,27,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,28,28,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,29,29,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,30,30,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,31,31,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,32,32,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,33,33,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,34,34,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
