sweep,mean_plaquette,plaquette_variance,action_density,acceptance_rate
0,-0.04886587740589602,0.2370775308781546,-0.10750493029297131,0.921875
1,-0.04187685796490328,0.25067068070819665,-0.09212908752278726,0.921875
2,-0.024540819312857568,0.25241508174563493,-0.05398980248828667,0.921875
3,-0.020072022774728526,0.26776207160672433,-0.04415845010440275,0.9296875
4,-0.007300498052182763,0.2700005757228027,-0.016061095714802038,0.93125
5,-0.009511459944275793,0.2787743054383281,-0.020925211877406702,0.9296875
6,-0.006029092280218956,0.27631909300886,-0.01326400301648169,0.9352678571428571
7,-0.005328411380364255,0.27692777591950896,-0.01172250503680135,0.94140625
8,-0.003829331721766469,0.2792031993407818,-0.00842452978788624,0.9375
9,-0.006137666119053707,0.27808385090079946,-0.013502865461918171,0.9375
10,-0.010153334321223695,0.2917693455805752,-0.022337335506692108,0.9332386363636364
11,-0.007338027218674266,0.2970995022349065,-0.016143659881083478,0.9309895833333334
12,-0.0022097278471828485,0.29548757971920414,-0.004861401263802291,0.9302884615384616
13,0.00407289828398381,0.303063863390327,0.008960376224764427,0.9285714285714286
14,0.020953706810608375,0.30160539627683985,0.04609815498333839,0.93125
15,0.02191413974516181,0.30935889131809297,0.048211107439355964,0.9296875
