sweep,loop,mean_abs_normalized_trace
0,time_polyakov_abs,0.4516353165511071
1,time_polyakov_abs,0.41985020657160665
2,time_polyakov_abs,0.45671419986989104
3,time_polyakov_abs,0.44804395644170636
4,time_polyakov_abs,0.4340006360379394
5,time_polyakov_abs,0.43696333272597854
6,time_polyakov_abs,0.47126649168310963
7,time_polyakov_abs,0.4480367317998137
8,time_polyakov_abs,0.444547986864211
9,time_polyakov_abs,0.466525002343826
10,time_polyakov_abs,0.4842440465778346
11,time_polyakov_abs,0.5159177212698385
12,time_polyakov_abs,0.5023635165808136
13,time_polyakov_abs,0.5125498964246364
14,time_polyakov_abs,0.5204043829029157
15,time_polyakov_abs,0.5261308016333731
