flyby_id,status,dVinf_obs_mm_s,sigma_dVinf_mm_s,anderson_mm_s,anderson_residual_mm_s,raw_receipt_status,missing_receipt_count,certificate_path
Galileo I,OD_REPLAY_PENDING,3.92,0.03,4.122493,-0.202493,RAW_TRACKING_PARTIAL_REPLAY_PENDING,6,Galileo_I.closeflyby.json
Galileo II,OD_REPLAY_PENDING,-4.6,1.0,-4.673874,0.073874,RAW_TRACKING_PARTIAL_REPLAY_PENDING,6,Galileo_II.closeflyby.json
NEAR,OD_REPLAY_PENDING,13.46,0.01,13.277863,0.182137,RAW_TRACKING_AVAILABLE_REPLAY_PENDING,8,NEAR.closeflyby.json
Cassini,OD_REPLAY_PENDING,-0.5,0.5,-1.068046,0.568046,RAW_TRACKING_TO_LOCATE_REPLAY_PENDING,8,Cassini.closeflyby.json
Rosetta I,OD_REPLAY_PENDING,1.8,0.03,2.066282,-0.266282,RAW_RSI_DATA_AVAILABLE_REPLAY_PENDING,6,Rosetta_I.closeflyby.json
MESSENGER,OD_REPLAY_PENDING,0.02,0.01,0.055302,-0.035302,RAW_TRACKING_TO_LOCATE_REPLAY_PENDING,7,MESSENGER.closeflyby.json
Rosetta II,OD_REPLAY_PENDING,0.0,0.1,1.001276,-1.001276,NULL_CONTROL_ARCHIVE_REPLAY_PENDING,6,Rosetta_II.closeflyby.json
EPOXI I,OD_REPLAY_PENDING,0.0,0.1,0.418065,-0.418065,NULL_CONTROL_ARCHIVE_REPLAY_PENDING,6,EPOXI_I.closeflyby.json
EPOXI II,OD_REPLAY_PENDING,0.0,0.1,5.572116,-5.572116,NULL_CONTROL_ARCHIVE_REPLAY_PENDING,6,EPOXI_II.closeflyby.json
Rosetta III,OD_REPLAY_PENDING,0.0,0.1,1.089468,-1.089468,NULL_CONTROL_ARCHIVE_REPLAY_PENDING,6,Rosetta_III.closeflyby.json
EPOXI III,OD_REPLAY_PENDING,0.0,0.1,-5.692015,5.692015,NULL_CONTROL_ARCHIVE_REPLAY_PENDING,6,EPOXI_III.closeflyby.json
Juno,OD_REPLAY_PENDING,0.0,,6.425214,-6.425214,NULL_CONTROL_ARCHIVE_REPLAY_PENDING,6,Juno.closeflyby.json
